iter	Passed	Remaining
0	149	149774
1	154	76990
2	158	52780
3	161	40262
4	163	32476
5	164	27251
6	165	23520
7	167	20719
8	168	18537
9	169	16805
10	171	15377
11	172	14188
12	173	13184
13	175	12326
14	176	11577
15	177	10921
16	178	10342
17	180	9827
18	181	9369
19	183	8971
20	184	8597
21	185	8254
22	186	7941
23	188	7661
24	189	7398
25	191	7164
26	192	6942
27	193	6731
28	195	6534
29	196	6351
30	197	6186
31	199	6029
32	200	5878
33	201	5735
34	203	5604
35	204	5477
36	205	5357
37	207	5247
38	208	5138
39	209	5036
40	211	4941
41	212	4847
42	213	4762
43	215	4676
44	216	4594
45	217	4516
46	219	4441
47	220	4369
48	221	4301
49	222	4236
50	224	4175
51	226	4120
52	227	4065
53	228	4008
54	230	3953
55	231	3902
56	232	3851
57	234	3801
58	235	3758
59	236	3711
60	238	3665
61	239	3625
62	240	3582
63	242	3542
64	243	3502
65	244	3463
66	246	3426
67	246	3382
68	248	3346
69	249	3312
70	250	3278
71	251	3246
72	253	3215
73	254	3184
74	255	3153
75	257	3126
76	258	3097
77	259	3068
78	260	3041
79	262	3014
80	263	2989
81	264	2963
82	265	2938
83	267	2917
84	268	2890
85	269	2868
86	270	2842
87	272	2826
88	274	2808
89	276	2791
90	277	2771
91	279	2754
92	280	2737
93	282	2720
94	283	2704
95	285	2689
96	287	2672
97	288	2655
98	289	2638
99	291	2623
100	292	2607
101	293	2585
102	295	2574
103	297	2559
104	298	2544
105	299	2529
106	301	2513
107	302	2500
108	304	2486
109	305	2472
110	306	2457
111	308	2445
112	309	2430
113	311	2419
114	312	2406
115	313	2391
116	315	2378
117	316	2366
118	317	2351
119	319	2339
120	320	2328
121	322	2318
122	322	2302
123	324	2290
124	325	2279
125	327	2268
126	328	2258
127	329	2244
128	330	2233
129	332	2223
130	333	2212
131	334	2202
132	336	2193
133	337	2183
134	339	2174
135	340	2164
136	342	2155
137	343	2144
138	344	2135
139	346	2127
140	347	2118
141	349	2109
142	350	2101
143	352	2093
144	353	2086
145	355	2079
146	356	2071
147	358	2063
148	360	2056
149	361	2050
150	363	2042
151	364	2034
152	366	2027
153	367	2019
154	369	2012
155	370	2004
156	371	1997
157	373	1990
158	374	1983
159	376	1976
160	378	1970
161	379	1963
162	381	1958
163	383	1954
164	385	1950
165	387	1944
166	388	1940
167	390	1935
168	392	1928
169	393	1921
170	394	1914
